場,芝ダ,距離,条件1,条件2,条件3,種別,学習n,学習複勝率,学習基準,OOSn,OOS複勝率,OOS基準,学習単回収,OOS単回収
中京,ダート,1800,前走との間隔が中8週以上,前走着順が3着以内,馬齢が3歳以下,買い,494,48.4,23.6,110,42.7,21.5,69,73
中京,ダート,1800,前走との間隔が中4週以内,前走着順が3着以内,馬齢が4歳以下,買い,580,47.8,23.6,123,45.5,21.5,66,80
小倉,芝,1200,前走着順が3着以内,枠番が6~8枠,馬齢が3歳以下,買い,245,45.7,19.2,42,35.7,19.4,74,112
小倉,芝,1200,前走との間隔が中8週以上,前走着順が3着以内,馬齢が3歳以下,買い,406,42.1,19.2,70,45.7,19.4,65,96
小倉,芝,1200,前走着順が3着以内,枠番が6~8枠,馬齢が4歳以下,買い,349,42.4,19.2,61,32.8,19.4,72,112
新潟,ダート,1800,前走着順が3着以内,性別が牡馬・セン,馬齢が3歳以下,買い,404,45.5,22.0,81,43.2,22.3,96,68
新潟,ダート,1800,前走との間隔が中4週以内,前走着順が3着以内,性別が牡馬・セン,買い,418,45.5,22.0,65,44.6,22.3,68,62
新潟,ダート,1800,前走との間隔が中8週以上,前走着順が3着以内,調教師の所属が栗東,買い,328,46.0,22.0,46,43.5,22.3,87,76
阪神,ダート,1400,前走着順が3着以内,性別が牡馬・セン,馬齢が3歳以下,買い,350,49.1,20.5,91,41.8,19.9,72,115
阪神,ダート,1400,前走着順が3着以内,性別が牡馬・セン,馬齢が4歳以下,買い,476,46.6,20.5,129,38.8,19.9,74,115
阪神,ダート,1400,前走の4コーナー通過順が4番手以内,前走着順が3着以内,性別が牡馬・セン,買い,363,47.4,20.5,82,32.9,19.9,69,74
東京,芝,1600,馬齢が4歳以下,騎手がルメール,,買い,175,66.3,21.9,51,68.6,21.7,73,114
東京,芝,1600,調教師の所属が美浦,騎手がルメール,,買い,173,65.9,21.9,42,69.0,21.7,68,110
東京,芝,1600,馬齢が3歳以下,騎手がルメール,,買い,138,65.9,21.9,42,69.0,21.7,67,110
小倉,ダート,1700,前走との間隔が中8週以上,前走の馬体重が460kg以上,前走着順が3着以内,買い,538,45.7,20.4,95,43.2,20.6,93,55
小倉,ダート,1700,前走との間隔が中8週以上,前走着順が3着以内,調教師の所属が栗東,買い,649,44.7,20.4,107,41.1,20.6,97,87
