場,芝ダ,距離,条件1,条件2,条件3,種別,学習n,学習複勝率,学習基準,OOSn,OOS複勝率,OOS基準,学習単回収,OOS単回収
中山,芝,2200,前走中央場所,前走着順が3着以内,性別が牡馬・セン,買い,160,45.6,21.2,38,55.3,19.4,92,71
中山,芝,2200,前走中央場所,前走着順が3着以内,調教師の所属が美浦,買い,165,44.8,21.2,40,50.0,19.4,68,76
中山,芝,2200,前走の馬体重が460kg以上,前走着順が3着以内,調教師の所属が美浦,買い,161,44.7,21.2,37,27.0,19.4,73,44
函館,ダート,1000,前走の4コーナー通過順が4番手以内,前走着順が3着以内,枠番が6~8枠,買い,87,62.1,26.1,30,46.7,25.8,90,98
函館,ダート,1000,前走着順が3着以内,前走着順が5着以内,枠番が6~8枠,買い,110,56.4,26.1,34,41.2,25.8,74,86
函館,ダート,1000,前走着順が3着以内,前走着順が9着以内,枠番が6~8枠,買い,110,56.4,26.1,34,41.2,25.8,74,86
京都,芝,1200,前走着順が5着以内,性別が牡馬・セン,馬齢が4歳以下,買い,74,40.5,20.1,42,26.2,20.7,79,56
京都,芝,1200,前走の馬体重が460kg以上,前走中央場所,前走着順が3着以内,買い,53,43.4,20.1,38,28.9,20.7,59,106
京都,芝,1200,前走の馬体重が500kg以上,前走中央場所,前走着順が9着以内,買い,38,47.4,20.1,22,27.3,20.7,56,0
札幌,芝,1800,前走の馬体重が460kg以上,前走着順が3着以内,馬齢が4歳以下,買い,104,47.1,25.9,25,48.0,27.1,82,79
札幌,芝,1800,前走着順が3着以内,調教師の所属が美浦,馬齢が4歳以下,買い,85,48.2,25.9,24,41.7,27.1,106,56
札幌,芝,1800,前走着順が3着以内,性別が牝馬,馬齢が4歳以下,買い,74,48.6,25.9,21,47.6,27.1,85,98
函館,芝,2000,前走着順が3着以内,馬齢が4歳以下,,買い,143,39.9,22.8,54,44.4,23.4,104,160
函館,芝,2000,前走着順が5着以内,馬齢が4歳以下,,買い,248,37.5,22.8,86,32.6,23.4,107,107
函館,芝,2000,前走着順が5着以内,馬齢が3歳以下,,買い,189,38.1,22.8,77,33.8,23.4,91,120
札幌,ダート,1000,前走着順が5着以内,枠番が6~8枠,馬齢が4歳以下,買い,161,49.7,25.8,38,39.5,25.9,88,41
札幌,ダート,1000,出走頭数が14頭以下,前走着順が3着以内,枠番が6~8枠,買い,106,51.9,25.8,16,62.5,25.9,85,58
札幌,ダート,1000,前走着順が3着以内,前走着順が5着以内,枠番が6~8枠,買い,120,50.8,25.8,17,58.8,25.9,78,55
阪神,芝,2400,前走着順が3着以内,馬齢が4歳以下,,買い,120,52.5,27.0,42,45.2,25.4,57,31
阪神,芝,2400,前走着順が3着以内,性別が牡馬・セン,調教師の所属が栗東,買い,120,50.8,27.0,34,50.0,25.4,65,82
阪神,芝,2400,前走着順が3着以内,調教師の所属が栗東,馬齢が3歳以下,買い,84,53.6,27.0,23,43.5,25.4,57,36
福島,芝,2600,前走との間隔が中8週以上,前走着順が5着以内,馬齢が4歳以下,買い,121,40.5,21.8,32,28.1,21.2,106,42
福島,芝,2600,前走との間隔が中8週以上,前走着順が5着以内,調教師の所属が美浦,買い,100,41.0,21.8,25,28.0,21.2,79,20
福島,芝,2600,前走着順が3着以内,性別が牡馬・セン,馬齢が4歳以下,買い,61,44.3,21.8,20,45.0,21.2,110,98
新潟,芝,2200,前走着順が3着以内,性別が牡馬・セン,馬齢が3歳以下,買い,69,47.8,21.7,15,33.3,21.6,72,22
新潟,芝,2200,前走着順が5着以内,性別が牡馬・セン,馬齢が3歳以下,買い,114,43.0,21.7,27,33.3,21.6,120,18
新潟,芝,2200,前走の4コーナー通過順が4番手以内,前走着順が5着以内,性別が牡馬・セン,買い,101,42.6,21.7,28,28.6,21.6,140,5
中山,芝,2500,前走との間隔が中4週以内,前走中央場所,馬齢が4歳以下,買い,43,55.8,24.2,24,41.7,23.1,184,37
中山,芝,2500,出走頭数が12頭以下,前走着順が5着以内,調教師の所属が美浦,買い,77,48.1,24.2,15,40.0,23.1,154,29
中山,芝,2500,前走中央場所,馬齢が3歳以下,,買い,43,53.5,24.2,15,53.3,23.1,176,94
小倉,芝,2600,前走着順が5着以内,性別が牡馬・セン,馬齢が4歳以下,買い,109,46.8,24.9,16,68.8,20.3,87,102
小倉,芝,2600,前走着順が5着以内,前走着順が9着以内,馬齢が4歳以下,買い,136,43.4,24.9,17,64.7,20.3,76,96
小倉,芝,2600,前走着順が5着以内,前走着順が9着以内,性別が牡馬・セン,買い,152,42.8,24.9,31,45.2,20.3,73,82
新潟,芝,2850,前走着順が3着以内,性別が牡馬・セン,,買い,102,55.9,26.4,15,46.7,23.8,81,88
新潟,芝,2850,前走着順が3着以内,前走着順が5着以内,,買い,110,53.6,26.4,16,43.8,23.8,78,82
新潟,芝,2850,前走着順が3着以内,前走着順が9着以内,,買い,110,53.6,26.4,16,43.8,23.8,78,82
阪神,芝,2200,前走中央場所,前走着順が5着以内,馬齢が4歳以下,買い,89,44.9,22.9,61,27.9,22.0,114,17
阪神,芝,2200,前走着順が5着以内,性別が牡馬・セン,馬齢が3歳以下,買い,72,45.8,22.9,28,39.3,22.0,100,64
阪神,芝,2200,出走頭数が14頭以下,前走中央場所,前走着順が5着以内,買い,72,45.8,22.9,38,36.8,22.0,117,23
中山,ダート,2400,前走着順が3着以内,枠番が6~8枠,調教師の所属が美浦,買い,59,42.4,21.3,15,46.7,22.0,46,55
中山,ダート,2400,前走着順が5着以内,枠番が6~8枠,調教師の所属が美浦,買い,91,38.5,21.3,23,34.8,22.0,90,36
中山,ダート,2400,前走の馬体重が460kg以上,前走着順が5着以内,枠番が6~8枠,買い,122,36.9,21.3,23,34.8,22.0,84,36
京都,芝,2200,前走中央場所,前走着順が3着以内,馬齢が4歳以下,買い,66,51.5,24.1,29,37.9,25.8,39,153
京都,芝,2200,前走の馬体重が460kg以上,前走着順が3着以内,馬齢が4歳以下,買い,76,47.4,24.1,27,40.7,25.8,34,140
京都,芝,2200,前走との間隔が中8週以上,前走中央場所,前走着順が3着以内,買い,66,48.5,24.1,17,41.2,25.8,44,139
中山,ダート,2880,前走の馬体重が460kg以上,前走着順が3着以内,,買い,67,59.7,27.1,25,60.0,27.3,100,129
中山,ダート,2880,出走頭数が14頭以下,前走着順が3着以内,,買い,80,55.0,27.1,33,60.6,27.3,103,104
中山,ダート,2880,前走着順が3着以内,前走着順が5着以内,,買い,80,55.0,27.1,33,60.6,27.3,103,104
新潟,芝,2890,前走との間隔が中8週以上,前走の馬体重が460kg以上,前走着順が5着以内,買い,97,43.3,25.5,21,57.1,23.6,67,54
新潟,芝,2890,前走との間隔が中8週以上,前走の4コーナー通過順が4番手以内,前走着順が5着以内,買い,77,42.9,25.5,19,63.2,23.6,76,96
新潟,芝,2890,前走との間隔が中8週以上,前走着順が5着以内,性別が牡馬・セン,買い,102,41.2,25.5,24,54.2,23.6,61,48
札幌,芝,2600,前走の馬体重が460kg以上,前走着順が3着以内,性別が牡馬・セン,買い,63,50.8,23.4,20,30.0,25.5,78,30
札幌,芝,2600,前走の馬体重が460kg以上,前走着順が3着以内,前走着順が5着以内,買い,78,47.4,23.4,24,29.2,25.5,74,25
札幌,芝,2600,前走の馬体重が460kg以上,前走着順が3着以内,前走着順が9着以内,買い,78,47.4,23.4,24,29.2,25.5,74,25
京都,芝,2400,前走との間隔が中8週以上,前走着順が3着以内,馬齢が3歳以下,買い,31,71.0,25.8,24,41.7,22.8,100,36
京都,芝,2400,前走との間隔が中8週以上,前走着順が3着以内,馬齢が4歳以下,買い,49,59.2,25.8,41,41.5,22.8,70,39
京都,芝,2400,前走中央場所,前走着順が3着以内,馬齢が4歳以下,買い,45,60.0,25.8,41,43.9,22.8,60,50
函館,芝,2600,前走着順が5着以内,馬齢が4歳以下,,買い,110,40.0,24.7,29,51.7,27.3,95,81
函館,芝,2600,前走着順が5着以内,馬齢が3歳以下,,買い,78,41.0,24.7,25,48.0,27.3,102,75
函館,芝,2600,前走着順が3着以内,,,買い,81,40.7,24.7,17,58.8,27.3,90,119
新潟,芝,2400,前走着順が3着以内,馬齢が4歳以下,,買い,55,41.8,22.3,18,38.9,20.0,130,94
新潟,芝,2400,前走着順が3着以内,前走着順が5着以内,,買い,62,40.3,22.3,19,36.8,20.0,152,89
新潟,芝,2400,前走着順が3着以内,前走着順が9着以内,,買い,62,40.3,22.3,19,36.8,20.0,152,89
阪神,ダート,2970,前走の4コーナー通過順が4番手以内,前走着順が3着以内,性別が牡馬・セン,買い,36,75.0,30.2,15,53.3,26.4,92,51
阪神,ダート,2970,出走頭数が14頭以下,前走着順が3着以内,性別が牡馬・セン,買い,44,68.2,30.2,18,50.0,26.4,82,42
阪神,ダート,2970,前走着順が3着以内,前走着順が5着以内,性別が牡馬・セン,買い,44,68.2,30.2,18,50.0,26.4,82,42
東京,ダート,3000,出走頭数が14頭以下,前走着順が5着以内,性別が牡馬・セン,買い,73,52.1,28.6,26,46.2,23.7,80,56
東京,ダート,3000,前走との間隔が中8週以上,前走着順が5着以内,性別が牡馬・セン,買い,64,53.1,28.6,20,40.0,23.7,87,40
東京,ダート,3000,前走着順が5着以内,前走着順が9着以内,性別が牡馬・セン,買い,75,50.7,28.6,26,46.2,23.7,78,56
中京,芝,3000,前走着順が3着以内,,,買い,39,61.5,26.6,15,53.3,23.7,76,35
中京,芝,3000,前走着順が5着以内,馬齢が6歳以上,,買い,31,54.8,26.6,15,66.7,23.7,32,205
中京,芝,3000,前走の馬体重が460kg以上,前走着順が5着以内,,買い,58,46.6,26.6,22,45.5,23.7,49,131
