場,芝ダ,距離,条件1,条件2,条件3,種別,学習n,学習複勝率,学習基準,OOSn,OOS複勝率,OOS基準,学習単回収,OOS単回収
京都,芝,1600,調教師の所属が美浦,,,消し,82,11.0,21.9,30,10.0,22.2,113,52
中山,芝,1800,馬齢が6歳以上,,,消し,182,7.7,22.1,52,15.4,22.9,21,122
阪神,芝,1400,馬齢が6歳以上,,,消し,247,10.5,21.2,87,17.2,20.8,37,38
福島,芝,1800,騎手が菊沢一樹,,,消し,53,5.7,20.9,15,0.0,20.8,0,0
小倉,ダート,1000,調教師の所属が美浦,,,消し,435,15.9,22.7,91,13.2,22.7,63,49
中京,ダート,1900,馬齢が6歳以上,,,消し,203,13.8,23.2,31,6.5,20.9,106,0
中京,ダート,1900,馬齢が5歳以上,,,消し,480,16.5,23.2,78,10.3,20.9,66,0
新潟,芝,1600,馬齢が6歳以上,,,消し,111,9.0,20.2,39,17.9,22.2,27,44
東京,芝,2400,馬齢が6歳以上,,,消し,181,12.7,24.2,266,21.1,23.1,63,39
東京,芝,2400,騎手が吉田豊,,,消し,40,10.0,24.2,20,20.0,23.1,44,98
東京,芝,2400,馬齢が5歳以上,,,消し,386,17.4,24.2,319,20.7,23.1,67,53
新潟,芝,1000,枠番が1~3枠,,,消し,270,8.9,18.0,90,5.6,18.8,66,112
福島,芝,2000,馬齢が6歳以上,,,消し,139,11.5,21.0,108,18.5,20.9,41,21
京都,芝,1400,調教師の所属が美浦,,,消し,81,8.6,20.6,36,16.7,20.9,69,81
京都,芝,1800,馬齢が6歳以上,,,消し,52,7.7,24.6,188,20.7,24.0,32,90
京都,芝,1800,騎手が田口貫太,,,消し,51,11.8,24.6,25,20.0,24.0,56,271
京都,芝,2000,調教師の所属が美浦,,,消し,89,10.1,25.4,25,16.0,26.5,16,22
札幌,芝,2000,馬齢が6歳以上,,,消し,59,10.2,22.2,25,16.0,22.0,55,250
中京,芝,2200,馬齢が6歳以上,,,消し,130,12.3,24.8,19,15.8,21.8,12,72
中京,芝,2200,調教師の所属が美浦,,,消し,232,15.5,24.8,53,9.4,21.8,34,0
函館,芝,1800,馬齢が6歳以上,,,消し,73,9.6,23.5,124,20.2,22.4,36,51
函館,芝,1800,馬齢が5歳以上,,,消し,174,13.2,23.5,156,19.2,22.4,26,40
阪神,芝,1200,馬齢が6歳以上,,,消し,139,12.2,23.1,91,20.9,23.6,112,104
阪神,芝,1200,馬齢が5歳以上,,,消し,324,15.4,23.1,133,20.3,23.6,138,115
阪神,ダート,2000,馬齢が6歳以上,,,消し,148,13.5,24.2,48,10.4,22.1,28,117
京都,ダート,1900,馬齢が6歳以上,,,消し,100,7.0,22.9,181,18.2,23.3,32,88
京都,ダート,1900,馬齢が5歳以上,,,消し,212,15.1,22.9,234,18.4,23.3,32,74
小倉,芝,2860,性別が牝馬,,,消し,105,18.1,28.3,28,17.9,28.4,201,82
小倉,芝,2860,馬齢が4歳以下,,,消し,261,20.3,28.3,56,21.4,28.4,92,52
札幌,芝,1800,枠番が6~8枠,馬齢が5歳以上,,消し,73,2.7,25.9,26,23.1,27.1,0,99
阪神,芝,2400,馬齢が6歳以上,,,消し,79,15.2,27.0,47,17.0,25.4,78,207
阪神,芝,2400,馬齢が5歳以上,,,消し,163,18.4,27.0,69,15.9,25.4,53,186
阪神,芝,2400,性別が牝馬,,,消し,138,18.8,27.0,23,17.4,25.4,24,33
中山,芝,2500,馬齢が6歳以上,,,消し,141,12.1,24.2,28,7.1,23.1,22,0
小倉,芝,2600,馬齢が6歳以上,,,消し,77,6.5,24.9,16,0.0,20.3,44,0
函館,芝,2600,前走の馬体重が460kg以上,馬齢が5歳以上,,消し,47,4.3,24.7,17,23.5,27.3,0,96
